SATID, YYDDDHHMMSS_SSS,JDAY,AZ_deg,EL_deg,RANGE_km,RATE_km/sec,AZ_RES_deg,EL_RES_deg,RANGE_RES_km,RATE_RES_km/sec,ASTAT,SENID,
36508,23091000545.337,91.003997,263.2332,31.8002,1228.698,-1.1434,-0.0135,-0.0149,0.0022,-0.0001,1,393, 
36508,23091000555.338,91.0041127,267.3309,32.1751,1219.244,-0.7464,-0.0128,-0.0265,0.0043,-0.0002,1,393, 
36508,23091000606.337,91.00424,271.9246,32.4275,1213.479,-0.3009,-0.0132,-0.0178,0.0031,0,1,393, 
36508,23091000616.337,91.0043558,276.1331,32.4765,1212.509,0.107,-0.0168,-0.018,0.0028,-0.0001,1,393, 
36508,23091000626.338,91.0044715,280.3358,32.3627,1215.615,0.5136,-0.0167,-0.0151,0.0001,-0.0004,1,393, 
36508,23091000636.337,91.0045872,284.4846,32.0866,1222.772,0.9158,-0.0167,-0.0128,0.0039,0.0002,1,393, 
36508,23091000646.337,91.004703,288.5412,31.6532,1233.899,1.3082,-0.0168,-0.0151,0.0036,0.0001,1,393, 
36508,23091000656.371,91.0048191,292.4871,31.0845,1248.948,1.6892,-0.0147,-0.011,0.0026,-0.0002,1,393, 
36508,23091000706.372,91.0049349,296.2648,30.3902,1267.681,2.0542,-0.0135,-0.0111,0.003,0.0002,1,393, 
36508,23091000716.371,91.0050506,299.8684,29.5928,1289.972,2.4013,-0.0116,-0.0096,0.0055,0.0003,1,393, 
36508,23091000726.371,91.0051663,303.2845,28.7081,1315.635,2.7285,-0.0104,-0.009,0.002,-0.0004,1,393, 
36508,23091000736.372,91.0052821,306.5072,27.7547,1344.483,3.0369,-0.0093,-0.0091,0.0016,0.0002,1,393, 
36508,23091000746.371,91.0053978,309.535,26.7496,1376.303,3.3239,-0.0076,-0.0101,0.0041,-0.0001,1,393, 
36508,23091000756.371,91.0055136,312.3728,25.7104,1410.896,3.5908,-0.0046,-0.0096,0.0067,0.0001,1,393, 
36508,23091000806.372,91.0056293,315.0218,24.6497,1448.055,3.8376,-0.005,-0.0084,0.0048,0.0001,1,393, 
41335,23091005150.058,91.035996,329.2075,16.5481,1969.251,-2.336,-0.0001,0.0013,0.001,0,1,393, 
41335,23091005200.057,91.0361118,327.0471,16.9547,1947.041,-2.1048,-0.0006,0.0074,0.0006,0.0003,1,393, 
41335,23091005213.073,91.0362624,324.1467,17.4139,1921.659,-1.7928,-0.0042,0.0001,-0.0004,0,1,393, 
41335,23091005223.073,91.0363782,321.8646,17.7277,1904.963,-1.5451,-0.0015,0.0019,-0.0027,-0.0003,1,393, 
41335,23091005233.073,91.0364939,319.533,17.9912,1890.785,-1.2906,-0.0025,-0.0027,0.0009,-0.0001,1,393, 
41335,23091005243.074,91.0366097,317.1647,18.2133,1879.173,-1.031,-0.0009,-0.0021,0.0011,-0.0001,1,393, 
41335,23091005253.073,91.0367254,314.764,18.3875,1870.182,-0.7669,0,-0.0001,0.001,-0.0001,1,393, 
41335,23091005303.073,91.0368411,312.3385,18.5054,1863.848,-0.4994,0.0006,-0.0032,0.0011,0.0001,1,393, 
41335,23091005313.056,91.0369567,309.8992,18.5736,1860.204,-0.2304,-0.0007,-0.0034,0.0017,0,1,393, 
41335,23091005323.056,91.0370724,307.449,18.5888,1859.253,0.04,-0.0014,-0.0032,0.0023,-0.0001,1,393, 
41335,23091005333.056,91.0371881,305.0005,18.5527,1861.009,0.3106,-0.0018,-0.0007,0.0045,0.0001,1,393, 
41335,23091005343.056,91.0373039,302.563,18.4597,1865.458,0.5793,-0.0014,-0.0018,0.0024,-0.0001,1,393, 
41335,23091005353.056,91.0374196,300.1419,18.3168,1872.588,0.8458,-0.0031,-0.0007,0.004,0.0001,1,393, 
41335,23091005403.056,91.0375354,297.7511,18.1204,1882.362,1.1082,-0.0015,-0.0026,0.0038,-0.0002,1,393, 
41335,23091005413.073,91.0376513,295.3885,17.8785,1894.764,1.3668,-0.0021,-0.0013,0.005,0.0001,1,393, 
43476,23091005424.304,91.0377813,272.0451,18.6933,1229.999,-1.1408,-0.0055,-0.0155,0.0035,0.0005,1,393, 
43476,23091005436.304,91.0379202,276.5307,18.9816,1219.311,-0.6373,-0.0019,-0.0143,0.0018,0.0002,1,393, 
43477,23091005444.371,91.0380136,270.9853,18.4632,1239.72,-1.2687,-0.0136,0.0023,0.0004,0,1,393, 
43476,23091005448.304,91.0380591,281.0843,19.1283,1214.738,-0.124,0.0024,-0.0006,0.0043,0.0002,1,393, 
43477,23091005454.372,91.0381293,274.6714,18.7448,1229.092,-0.8552,-0.0133,0.0048,0.0007,-0.0002,1,393, 
43476,23091005458.305,91.0381748,284.8875,19.1137,1215.644,0.3053,0.0015,-0.0042,0.0031,0,1,393, 
43477,23091005505.371,91.0382566,278.797,18.9252,1222.236,-0.3902,-0.0107,-0.0028,-0.0016,-0.0002,1,393, 
43476,23091005508.304,91.0382906,288.6653,18.9954,1220.834,0.7315,-0.0021,-0.0014,0.0048,0.0001,1,393, 
43477,23091005515.371,91.0383723,282.575,18.9803,1220.47,0.037,-0.0123,-0.0054,-0.0015,-0.0001,1,393, 
43476,23091005518.304,91.0384063,292.3916,18.7711,1230.249,1.1499,-0.0052,0.0019,0.0056,0.0001,1,393, 
